Image,Noise Type,Filter,MSE,PSNR,SSIM
img2.jpeg,Gaussian Noise,Mean Filter,91.76508,28.50402945774114,0.7303009569550983
img2.jpeg,Gaussian Noise,Median Filter,89.07328,28.633329391340766,0.6527379312309611
img2.jpeg,Gaussian Noise,Gaussian Filter,83.45937,28.916052605601298,0.6948868773168155
img2.jpeg,Salt-and-Pepper Noise,Mean Filter,134.55139,26.84192236814419,0.5936146404442675
img2.jpeg,Salt-and-Pepper Noise,Median Filter,52.552555,30.924864407003774,0.8943278746280913
img2.jpeg,Salt-and-Pepper Noise,Gaussian Filter,156.90642,26.174396673157094,0.5437363603020681
img3.jpeg,Gaussian Noise,Mean Filter,63.36113,30.112573177940043,0.7752056575003511
img3.jpeg,Gaussian Noise,Median Filter,74.49583,29.409483796820204,0.7008532600999146
img3.jpeg,Gaussian Noise,Gaussian Filter,64.4638,30.037643996456286,0.7012302845786863
img3.jpeg,Salt-and-Pepper Noise,Mean Filter,94.22074,28.3893379143558,0.7013726731174431
img3.jpeg,Salt-and-Pepper Noise,Median Filter,32.470406,33.015927325955296,0.930371848069532
img3.jpeg,Salt-and-Pepper Noise,Gaussian Filter,111.29672,27.665980256194228,0.6246897214013293
img1.jpeg,Gaussian Noise,Mean Filter,120.28535,27.32867690625551,0.7460454704086183
img1.jpeg,Gaussian Noise,Median Filter,130.67842,26.9687641074658,0.6995753879335918
img1.jpeg,Gaussian Noise,Gaussian Filter,99.707794,28.14351285524964,0.734507577042326
img1.jpeg,Salt-and-Pepper Noise,Mean Filter,145.97412,26.488045826063807,0.6956520090425888
img1.jpeg,Salt-and-Pepper Noise,Median Filter,87.61859,28.7048413217275,0.8564133566143445
img1.jpeg,Salt-and-Pepper Noise,Gaussian Filter,140.16675,26.66435323905711,0.6720701517289703
